iceciCode	Parent(s)	Title	baseExclusion	baseInclusion	relevantEntity
C.2.20.5.6	C.2.20.5	Failure of sterile precautions during heart catheterization			
C.2.20.5.7	C.2.20.5	Failure of sterile precautions during aspiration, puncture, or other catheterization			
C.2.20.5.8	C.2.20.5	Failure of sterile precautions during other specified surgical/medical care			
C.2.20.5.9	C.2.20.5	Failure of sterile precautions during unspecified surgical/medical care			
C.2.20.6	C.2.20	Abnormal reaction of the patient or later complication caused by surgical operations or other surgical/medical procedures, without mention of misadventure at the time of the procedure, NEC			
C.2.20.6.1	C.2.20.6	Surgical operation or procedure as the cause of abnormal reaction of the patient or of later complication without mention of misadventure at the time of the procedure			
C.2.20.6.2	C.2.20.6	Medical procedure, other than surgical, as the cause of abnormal reaction of the patient or of later complication without mention of misadventure at the time of the procedure			
C.2.20.7	C.2.20	non-administration of surgical/medical care			
C.2.20.8	C.2.20	other specified complications of health care			
C.2.20.9	C.2.20	unspecified complications of health care			
C.2.3	C.2	Other mechanical force			
C.2.3.1	C.2.3	struck by explosive blast	[C.2.4.1.3,C.2.8.4.1]		
C.2.3.2	C.2.3	contact with machinery	[C.2.98.1,C.2.1.1]		
C.2.3.8	C.2.3	other specified mechanical force			
C.2.3.9	C.2.3	unspecified mechanical force			
C.2.4	C.2	Thermal mechanism			
C.2.4.1	C.2.4	Heating			
C.2.4.1.1	C.2.4.1	Contact with hot liquid, steam, other hot gas	[C.2.4.1.3,C.2.8.4.1,C.2.4.1.6]		
C.2.4.1.2	C.2.4.1	Contact with hot object or solid substance			
C.2.4.1.3	C.2.4.1	Contact with fire or flame	[C.2.8.4.1]		
C.2.4.1.4	C.2.4.1	Heating, whole body from natural source			
C.2.4.1.5	C.2.4.1	Heating, whole body man-made			
C.2.4.1.6	C.2.4.1	Inhalation of smoke from burning object/substance			
C.2.4.1.8	C.2.4.1	Other specified heating			
C.2.4.1.9	C.2.4.1	Unspecified heating			
C.2.4.2	C.2.4	Cooling			
C.2.4.2.1	C.2.4.2	Cooling: natural source	[C.2.4.2.2]		
C.2.4.2.2	C.2.4.2	Cooling: man-made source			
C.2.4.2.8	C.2.4.2	Other specified cooling			
C.2.4.2.9	C.2.4.2	Unspecified cooling			
C.2.4.8	C.2.4	other specified thermal mechanism			
C.2.4.9	C.2.4	unspecified thermal mechanism			
C.2.5	C.2	Threat to breathing			
C.2.5.1	C.2.5	Mechanical threat to breathing			
C.2.5.1.1	C.2.5.1	Hanging			
C.2.5.1.2	C.2.5.1	Strangling			
C.2.5.1.3	C.2.5.1	External compression of airway, chest			
C.2.5.1.4	C.2.5.1	Obstruction of airway by inhaled object/substance	[C.2.6.1.3]		
C.2.5.1.5	C.2.5.1	Obstruction of airway by object covering mouth and nose			
C.2.5.1.8	C.2.5.1	Other specified mechanical threat to breathing			
C.2.5.1.9	C.2.5.1	Unspecified mechanical threat to breathing			
C.2.5.2	C.2.5	Drowning/near drowning			
C.2.5.2.1	C.2.5.2	Drowning/near drowning following fall into water			
C.2.5.2.2	C.2.5.2	Drowning/near drowning while in a body of water			
C.2.5.2.8	C.2.5.2	Other specified drowning/near drowning			
C.2.5.2.9	C.2.5.2	Unspecified drowning/near drowning			
C.2.5.3	C.2.5	confinement in oxygen-deficient place	[C.2.6.1.3,C.2.4.1.6,C.2.5.1.5]		
C.2.5.8	C.2.5	other specified threat to breathing	[C.2.5.1.5]		
C.2.5.9	C.2.5	unspecified threat to breathing			
C.2.6	C.2	Exposure to chemical or other substance			
C.2.6.1	C.2.6	Poisoning by chemical or other substance			
C.2.6.1.1	C.2.6.1	Poisoning by solid substance	[C.2.6.1.2]		
C.2.6.1.2	C.2.6.1	Poisoning by liquid substance			
C.2.6.1.3	C.2.6.1	Poisoning by gaseous substance			
C.2.6.1.8	C.2.6.1	Poisoning by other specified chemical or other substance			
C.2.6.1.9	C.2.6.1	Poisoning by unspecified chemical or other substance			
C.2.6.2	C.2.6	Corrosion by chemical or other substance	[C.2.1.6]		
C.2.6.2.1	C.2.6.2	Corrosion by solid substance			
C.2.6.2.2	C.2.6.2	Corrosion by liquid substance			
C.2.6.2.3	C.2.6.2	Corrosion by gaseous substance			
C.2.6.2.8	C.2.6.2	Corrosion by other specified substance			
C.2.6.2.9	C.2.6.2	Corrosion by unspecified substance			
C.2.6.8	C.2.6	other specified effect of exposure to chemical or other substance			
C.2.6.9	C.2.6	unspecified effect of exposure to chemical or other substance			
C.2.7	C.2	Physical over-exertion			
C.2.7.1	C.2.7	physical acute over-exertion, over-extension			
C.2.7.8	C.2.7	other specified physical over-exertion			
C.2.7.9	C.2.7	unspecified physical over-exertion			
C.2.8	C.2	Exposure to (effect of) weather, natural disaster, or other force of nature	[C.2.4.1.3]		
C.2.8.1	C.2.8	Exposure to (effect of) precipitation			
C.2.8.1.1	C.2.8.1	Exposure to rain, storm, cloudburst	[C.2.8.2.4]		
C.2.8.1.2	C.2.8.1	Exposure to hurricane, cyclone, monsoon, typhoon	[C.2.8.1.4]		
C.2.8.1.3	C.2.8.1	Exposure to hailstorm			
C.2.8.1.4	C.2.8.1	Exposure to flood			
C.2.8.1.8	C.2.8.1	Exposure to other specified (effect of) precipitation			
C.2.8.1.9	C.2.8.1	Exposure to unspecified (effect of) precipitation			
C.2.8.2	C.2.8	Exposure to (effect of) wind condition			
C.2.8.2.1	C.2.8.2	Exposure to tornado			
C.2.8.2.2	C.2.8.2	Exposure to windstorm			
C.2.8.2.3	C.2.8.2	Exposure to dust storm			
C.2.8.2.4	C.2.8.2	Exposure to blizzard	[C.2.8.1.1]		
C.2.8.2.8	C.2.8.2	Exposure to other specified (effect of) wind condition			
C.2.8.2.9	C.2.8.2	Exposure to unspecified (effect of) wind condition			
C.2.8.3	C.2.8	Exposure to (effect of) earth or ocean movement			
C.2.8.3.1	C.2.8.3	Exposure to earthquake	[C.2.8.4.1,C.2.8.3.4]		
C.2.8.3.2	C.2.8.3	Exposure to mudslide			
C.2.8.3.3	C.2.8.3	Exposure to avalanche			
C.2.8.3.4	C.2.8.3	Exposure to tidal wave			
C.2.8.3.8	C.2.8.3	Exposure to other specified (effect of) earth or ocean movement			
C.2.8.3.9	C.2.8.3	Exposure to unspecified (effect of) earth or ocean movement			
C.2.8.4	C.2.8	Exposure to (effect of) eruption			
C.2.8.4.1	C.2.8.4	Exposure to volcanic eruptions			
C.2.8.4.8	C.2.8.4	Exposure to other specified (effect of) eruption			
C.2.8.4.9	C.2.8.4	Exposure to unspecified (effect of) eruption			
C.2.8.8	C.2.8	Exposure to (effect of) other specified weather, natural disaster or other force of nature	[C.2.98.2.8]		
C.2.8.8.1	C.2.8.8	Exposure to lightning			
C.2.8.8.8	C.2.8.8	Exposure to other specified (effect of) weather, natural disaster or other force of nature			
C.2.8.9	C.2.8	exposure to (effect of) unspecified weather, natural disaster or other force of nature			
C.2.98	C.2	Other specified mechanism of injury			
C.2.98.1	C.2.98	Contact with foreign body			
C.2.98.1.1	C.2.98.1	Foreign body on eye or entering into/through eye			
C.2.98.1.2	C.2.98.1	Foreign body entering into or through other natural orifice	[C.2.5.1.4,C.2.1.3.2]		
C.2.98.1.8	C.2.98.1	Other specified contact with foreign body			
C.2.98.1.9	C.2.98.1	Unspecified contact with foreign body			
C.2.98.2	C.2.98	Exposure to electricity, radiation			
C.2.98.2.1	C.2.98.2	Exposure to electric current	[C.2.8.8.1]		
C.2.98.2.2	C.2.98.2	Exposure to welding light			
C.2.98.2.3	C.2.98.2	Exposure to other visible and ultraviolet light of man-made sources			
C.2.98.2.4	C.2.98.2	Exposure to sun light	[C.2.4.1.4]		
C.2.98.2.5	C.2.98.2	Exposure to other non-ionizing radiation			
C.2.98.2.6	C.2.98.2	Exposure to ionizing radiation, non-natural	[C.2.98.2.8]		
C.2.98.2.8	C.2.98.2	Exposure to other specified radiation			
C.2.98.2.9	C.2.98.2	Exposure to unspecified radiation			
C.2.98.3	C.2.98	Exposure to sound, vibration			
C.2.98.3.1	C.2.98.3	Exposure to sound			
C.2.98.3.2	C.2.98.3	Exposure to vibration			
C.2.98.4	C.2.98	Exposure to air pressure			
C.2.98.4.1	C.2.98.4	Exposure to suction			
C.2.98.4.2	C.2.98.4	Exposure to other extreme or changing air pressure			
C.2.98.4.8	C.2.98.4	Exposure to other specified air pressure			
C.2.98.4.9	C.2.98.4	Exposure to unspecified air pressure			
C.2.98.5	C.2.98	Exposure to low gravity			
C.2.98.6	C.2.98	Neglect, abandonment, or lack of necessities of life			
C.2.98.6.1	C.2.98.6	Lack of food			
C.2.98.6.2	C.2.98.6	Lack of water			
C.2.98.6.8	C.2.98.6	Other specified neglect, abandonment, or lack of necessities of life			
C.2.98.6.9	C.2.98.6	Unspecified neglect, abandonment, or lack of necessities of life			
C.2.98.8	C.2.98	0			
C.2.99	C.2	0			
C.3	CORE_MODULE	OBJECT/SUBSTANCE PRODUCING INJURY			
C.3.1	C.3	Land vehicle or means of land transport			
C.3.1.01	C.3.1	Person-powered means of transport			
C.3.1.01.01	C.3.1.01	Transport vehicle drawn or pushed by person			
C.3.1.01.05	C.3.1.01	Pedal cycle			
C.3.1.01.98	C.3.1.01	Other specified person-powered means of transport			
C.3.1.01.99	C.3.1.01	Unspecified person-powered means of transport			
C.3.1.02	C.3.1	Animal-powered means of transport			
C.3.1.02.01	C.3.1.02	Animal being ridden			
C.3.1.02.05	C.3.1.02	Animal-drawn vehicle			
C.3.1.02.98	C.3.1.02	Other specified animal-powered means of transport			
C.3.1.02.99	C.3.1.02	Unspecified animal-powered means of transport			
C.3.1.03	C.3.1	Motorised two- or three-wheeled vehicle			
C.3.1.03.01	C.3.1.03	Motorcycle			
C.3.1.03.05	C.3.1.03	Moped, scooter			
C.3.1.03.10	C.3.1.03	Three-wheeled motor vehicle or scooter			
C.3.1.03.98	C.3.1.03	Other specified motorized two- or three-wheeled vehicle			
C.3.1.03.99	C.3.1.03	Unspecified motorized two- or three-wheeled vehicle			
C.3.1.04	C.3.1	Light transport vehicle with four or more wheels			
C.3.1.04.01	C.3.1.04	Passenger car			
C.3.1.04.05	C.3.1.04	Light truck, Sports Utility Vehicle (SUV), utility van, 4x4 vehicle, jeep, pick-up truck			
C.3.1.04.10	C.3.1.04	Minibus			
C.3.1.04.98	C.3.1.04	Other specified light transport vehicle with four or more wheels			
C.3.1.04.99	C.3.1.04	Unspecified light transport vehicle with four or more wheels			
C.3.1.05	C.3.1	Heavy transport vehicle with four or more wheels			
C.3.1.05.01	C.3.1.05	Bus, coach			
C.3.1.05.10	C.3.1.05	Tractor-trailer, articulated lorry, 18-wheeler, rig			
C.3.1.05.30	C.3.1.05	Heavy truck NEC			
C.3.1.05.60	C.3.1.05	Trailer or horse-float			
C.3.1.05.98	C.3.1.05	Other specified heavy transport vehicle with four or more wheels			
C.3.1.05.99	C.3.1.05	Unspecified heavy transport vehicle with four or more wheels			
C.3.1.06	C.3.1	Rail vehicle			
C.3.1.06.01	C.3.1.06	Streetcar, tram, electric car, car trolley			
C.3.1.06.05	C.3.1.06	Train			
C.3.1.06.10	C.3.1.06	Funicular, monorail, or other similar rail vehicle			
C.3.1.06.98	C.3.1.06	Other specified rail vehicle			
C.3.1.06.99	C.3.1.06	Unspecified rail vehicle			
C.3.1.07	C.3.1	Parts/components of land vehicle or means of land transport			
C.3.1.07.01	C.3.1.07	Vehicle doors NEC			
C.3.1.07.05	C.3.1.07	Vehicle seat belts, deploying air bags			
C.3.1.07.10	C.3.1.07	Tyre (tire) or battery (attached or unattached)			
C.3.1.07.15	C.3.1.07	Vehicle window or windshield			
C.3.1.07.20	C.3.1.07	Interior of vehicle			
C.3.1.07.25	C.3.1.07	Engine of vehicle			
C.3.1.07.98	C.3.1.07	Other specified part/component of land vehicle or means of transport			
C.3.1.07.99	C.3.1.07	Unspecified part/component of land vehicle or means of transport			
C.3.1.98	C.3.1	Other specified land vehicle or means of land transport			
C.3.1.98.01	C.3.1.98	Cable car, ski chair lift, ski lift with gondola			
C.3.1.98.05	C.3.1.98	Motorized wheelchair			
C.3.1.98.10	C.3.1.98	Small-sized motorized vehicles for children			
C.3.1.98.15	C.3.1.98	Motor home			
C.3.1.98.98	C.3.1.98	Other specified land vehicle or means of land transport			
C.3.1.99	C.3.1	unspecified land vehicle or means of land transport			
C.3.10	C.3	Equipment mainly used in sports/recreational activity			
C.3.10.01	C.3.10	Ball used in sport			
C.3.10.01.01	C.3.10.01	Soft ball			
C.3.10.01.05	C.3.10.01	Puck, hard ball			
C.3.10.01.98	C.3.10.01	Other specified ball			
C.3.10.01.99	C.3.10.01	Unspecified ball			
C.3.10.02	C.3.10	Hand-held sports equipment			
C.3.10.02.01	C.3.10.02	Spear, javelin NEC			
C.3.10.02.05	C.3.10.02	Bow, arrow (bow and arrow), bolt (crossbow) NEC			
C.3.10.02.10	C.3.10.02	Other specified sports projectile			
C.3.10.02.15	C.3.10.02	Bat, hockey stick			
C.3.10.02.20	C.3.10.02	Racquet			
C.3.10.02.25	C.3.10.02	Ice pick			
C.3.10.02.98	C.3.10.02	Other specified hand-held sports equipment			
C.3.10.02.99	C.3.10.02	Unspecified hand-held sports equipment			
C.3.10.03	C.3.10	Equipment/structure for playing sports and exercise			
C.3.10.03.01	C.3.10.03	Net for sports and exercise			
C.3.10.03.05	C.3.10.03	Rugby pole, net pole, goal post			
C.3.10.03.10	C.3.10.03	Trampoline for playing sports and exercise			
C.3.10.03.15	C.3.10.03	Gymnastic equipment			
C.3.10.03.20	C.3.10.03	Sports mat for playing sports and exercise: Sports mat			
C.3.10.03.25	C.3.10.03	Diving board, platform			
C.3.10.03.30	C.3.10.03	Exercise, fitness equipment - movable (portable)			
C.3.10.03.35	C.3.10.03	Exercise, fitness equipment - fixed			
C.3.10.03.88	C.3.10.03	Other specified equipment/structure for playing sports/exercise  - moveable (portable)			
C.3.10.03.98	C.3.10.03	Other specified equipment/structure for playing sports/exercise  - fixed			
C.3.10.03.99	C.3.10.03	Unspecified equipment/structure for playing sports/exercise			
C.3.10.04	C.3.10	Equipment with wheels or designed for movement, mainly for use in sports/recreational activity			
C.3.10.04.01	C.3.10.04	Roller skates, rollerski, in-line skates, roller blades			
C.3.10.04.05	C.3.10.04	Skateboard			
C.3.10.04.10	C.3.10.04	Folding scooter			
C.3.10.04.15	C.3.10.04	Waterski			
C.3.10.04.20	C.3.10.04	Snow ski			
C.3.10.04.25	C.3.10.04	Snow board			
C.3.10.04.30	C.3.10.04	Ice skate			
C.3.10.04.35	C.3.10.04	Sled, toboggan, sleigh, snow disk, snow tube	[C.3.2.98.15]		
C.3.10.04.98	C.3.10.04	Other specified sports/recreational equipment with wheels or equipment designed for movement			
C.3.10.04.99	C.3.10.04	Unspecified sports/recreational equipment with wheels or equipment designed for movement			
C.3.10.05	C.3.10	Underwater diving equipment			
C.3.10.05.01	C.3.10.05	Aqualung			
C.3.10.05.05	C.3.10.05	Diving belt, weight			
C.3.10.05.10	C.3.10.05	Wetsuit			
C.3.10.05.15	C.3.10.05	Goggle/mask, flipper/fin, snorkel			
C.3.10.05.98	C.3.10.05	Other specified diving equipment			
C.3.10.05.99	C.3.10.05	Unspecified diving equipment			
C.3.10.98	C.3.10	Other specified equipment for sports/recreational activity			
C.3.10.98.01	C.3.10.98	Personal protective equipment (PPE) designed for use in sports			
C.3.10.98.98	C.3.10.98	Other specified equipment for sports/recreational activity			
C.3.10.99	C.3.10	unspecified equipment for sports/recreational activity			
C.3.11	C.3	Tool, machine, apparatus mainly used for work-related activity			
C.3.11.01	C.3.11	Machinery or fixed plant			
C.3.11.01.01	C.3.11.01	Cutting/slicing machinery or fixed plant			
C.3.11.01.05	C.3.11.01	Crushing/pressing machinery or fixed plant			
C.3.11.01.10	C.3.11.01	Heating/cooking machinery or fixed plant			
C.3.11.01.15	C.3.11.01	Refrigeration machinery or fixed plant	[C.3.14.98.61]		
C.3.11.01.20	C.3.11.01	Lifting machinery			
C.3.11.01.25	C.3.11.01	Hoist machinery			
C.3.11.01.30	C.3.11.01	Crane machinery or fixed plant			
C.3.11.01.35	C.3.11.01	Elevated work platform			
C.3.11.01.40	C.3.11.01	machinery or fixed plant: Conveyors, etc.			
C.3.11.01.45	C.3.11.01	Mains - gas, water, sewerage, steam, hot water, electricity	[C.3.14.98.55]		
C.3.11.01.50	C.3.11.01	Shearing plant			
C.3.11.01.55	C.3.11.01	machinery or fixed plant: Dairy/milking plant			
C.3.11.01.60	C.3.11.01	machinery or fixed plant: Press			
C.3.11.01.65	C.3.11.01	Garbage compactor			
C.3.11.01.70	C.3.11.01	Threshing machine			
C.3.11.01.71	C.3.11.01	Chaff-cutter, fodder-cutter			
C.3.11.01.98	C.3.11.01	Other specified machinery or fixed plant			
C.3.11.01.99	C.3.11.01	Unspecified machinery or fixed plant			
C.3.11.02	C.3.11	Powered hand tool/equipment			
C.3.11.02.01	C.3.11.02	Drill			
C.3.11.02.05	C.3.11.02	Chainsaw			
C.3.11.02.10	C.3.11.02	Other power saw			
C.3.11.02.15	C.3.11.02	Welder, welding equipment			
C.3.11.02.20	C.3.11.02	Nail gun, stud driver			
C.3.11.02.25	C.3.11.02	powered hand tool/equipment: Grinder, buffer, polisher, sander			
C.3.11.02.30	C.3.11.02	Powered garden tool			
C.3.11.02.35	C.3.11.02	Powered push lawnmower			
C.3.11.02.40	C.3.11.02	Industrial vacuum cleaner			
C.3.11.02.98	C.3.11.02	Other specified powered hand tool/equipment			
C.3.11.02.99	C.3.11.02	Unspecified powered hand tool/equipment			
C.3.11.03	C.3.11	Unpowered hand tool/equipment			
C.3.11.03.01	C.3.11.03	Push lawnmower (unpowered)			
C.3.11.03.05	C.3.11.03	Hammer, mallet			
C.3.11.03.10	C.3.11.03	Chopping tool			
C.3.11.03.15	C.3.11.03	Cutting tool			
C.3.11.03.20	C.3.11.03	Digging or tilling tool			
C.3.11.03.25	C.3.11.03	Lifting tool			
C.3.11.03.30	C.3.11.03	Nail, screw, tack			
C.3.11.03.35	C.3.11.03	Fishhook used for work-related activity			
C.3.11.03.40	C.3.11.03	Rat/mouse trap used for work-related activity			
C.3.11.03.98	C.3.11.03	Other specified unpowered hand tool/equipment			
C.3.11.03.99	C.3.11.03	Unspecified unpowered hand tool/equipment			
C.3.11.04	C.3.11	Pressure-based equipment			
C.3.11.04.01	C.3.11.04	pressure-based equipment: Gas cylinder			
C.3.11.04.05	C.3.11.04	Pressurized hose, pipe			
C.3.11.04.98	C.3.11.04	Other specified pressure-based equipment			
C.3.11.04.99	C.3.11.04	Unspecified pressure-based equipment			
C.3.11.05	C.3.11	Other unpowered equipment			
C.3.11.05.01	C.3.11.05	Ladder, movable step			
C.3.11.05.05	C.3.11.05	Scaffolding			
C.3.11.05.10	C.3.11.05	Helmet			
C.3.11.05.15	C.3.11.05	Earplugs			
C.3.11.05.20	C.3.11.05	Welding mask			
