"Code 1"	"Code 2"	"Code 3"	"Original Source"	"Original Code"	"English Title"	"Chinese Title"	"Japanese Title"	"Korean Title"	"English Definition"	"Chinese Definition"	"Japanese Definition"	"Korean Definition"	"Type"
"01"	"03"	"210"	"GB 97"	7.16	"Dyspepsia"	"伤食"			"It is caused by improper diet or crapulence, or dysfunction of the spleen and stomach, together with contraction with wind-cold and improper diet, resulting in food stagnation in the stomach and intestines and dysfunction in transportation and transformation. Clinical manifestations are nausea, anorexia, eructation of foul ordor, epigastric and abdominal distending pain."	"因饮食不慎，进食过饱，或因脾胃不健，感受风寒，再加饮食失调，使食积胃肠，运化不及所致。以恶心厌食，嗳腐吐馊，脘腹胀痛等为主要表现的胃肠积滞性疾病。"			"D"
"01"	"03"	211	"GB 97"	22.28	"Epigastric upset"	"嘈杂"			"It refers to sensation of emptiness in the stomach that is similar to hunger but is not hunger, similar to pain but is not pain, similar to heartburn but is not heartburn. It is something like gastric anguish and seems inexpressible. It is usually caused by improper diet, stomach cold, stomach heat, deficieny of yin blood or disharmony of the liver and stomach. It can be seen in diseases of stomach and esophagus, or gallbladder distention, pancreas distention, etc."	"自觉胃中空虚，似饥非饥，似痛非痛，似辣非辣，脘部懊恼，莫可名状的一种症状。多因伤食、胃寒、胃热、阴血亏虚及肝胃不和等所致。胃及食管的病变，胆胀、胰胀等病常可见嘈杂。"			"D"
"01"	"03"	220	"GB 97"	22.24	"Vomiting"	"呕吐"			"It refers to vomiting of gastric content through the mouth. It is caused by dysfunction of stomach in descending and reverse flow of stomach qi. Apart from the diseases of stomach, vomiting can be caused by disorders of liver, gallbladder, pancreas and bowels, as well as auricular dizziness, morning sickness, interior injury of head, intracranial diseases, drug poisoning, sunstorke, motion sickness, visceral syncope, etc."	"胃内容物从口中吐出的症状。可由诸种原因使胃失和降，胃气上逆所致。除胃本身的各种疾病均可导致呕吐以外，肝、胆、胰、肠的病变，以及耳眩晕、恶阻、头部内伤、颅内病变、某些药物中毒、中暑、晕动病、脏厥类疾病等等，皆可出现呕吐。"			"D"
"01"	"03"	"221"	"GB 97"	7.13	"Regurgitation"	"胃反"			"It is caused by chronic gastrointestinal disease, or injury due to surgery, and abdominal tumor, which obstruct the stomach and lead to reverse flow of stomach qi. Clinical manifestations are epigastric and abdominal distention, retention of food, morning vomiting of what was taken last night, or night vomiting of what was taken in the morning, or vomiting shortly after taking food."	"因胃肠病变日久，或因手术损伤，或腹内肿瘤等，使痰食气血壅滞，胃之下管不利，胃气上逆所致。以脘腹痞胀，宿食不化，暮食朝吐、朝食暮吐，甚或食入不久即吐为主要表现的内脏痹病类疾病。"			"D"
"01"	"03"	230	"KCDOM-3"	"U28.5"	"Block and repulsion"	"關格"		"관격"	"a diseased state characterized by urinary stoppage and vomiting"				"D"
"01"	"03"	240	"KCDOM-3 and GB 97"	"U28.6 AND 22.26"	"Dysphagia; choke"	"噎膈"		"열격"	"difficulty in swallowing"	"吞咽不顺，饮食梗塞难下的症状。气结、火郁、痰凝、血瘀、津枯等为噎膈常见病机。噎膈为食管病变的常见症状，胃与胸膈、心脏、口腔咽喉的某些病变，以及痹、痿、瘫、风类疾病，亦可导致噎膈。"			"D"
"01"	"03"	310	"KCDOM-3"	"U28.1"	"Crapulent syncope"	"食厥"		"식궐"	"syncope due to eating and drinking too much at one sitting"				"D"
"01"	"03"	320	"KCDOM-3"	"U28.0"	"Food accumulation"	"食積"		"식적"	"a diseased state characterized by the accumulation of undigested food in the stomach and intestines, causing abdominal distension and pain, vomiting, diarrhea and anorexia"				"D"
"01"	"03"	330	"KCDOM-3"	"U28.2"	"Food counterflow"	"食逆"		"식역"					"D"
"01"	"03"	"340"	"GB 97"	7.17	"Anorexia"	"厌食"			"It is caused by delicate upbringing and deficiency of the spleen and stomach, or emotional upset, dieting for fear of gaining weight. Clinical manifestations are long-term aversion to food, emaciation or lassitude."	"因娇生惯养，脾胃气虚，或因情志不畅，惧怕肥胖而节食等，日久而成。以长期厌恶饮食，消瘦疲乏为主要表现的郁病类疾病。"			"D"
"01"	"03"	410	"KCDOM-3"	"U28.7"	"Stomach reflux"	"反胃"		"반위"	"flowing back of the stomach contents into the esophagus and mouth a long time after eating, also known as gastro esophageal reflux"				"D"
"01"	"03"	"420"	"GB 97"	"7.10"	"Stomach distension"	"胃胀"			"It is caused by chronic disorder of stomach and hypofunction of spleen and stomach or blockage of qi activity due to accumulation of phlegm and blood stasis.Clinical manifestations are long-term epigastric fullness, distention and upset, or edema."	"因胃病日久，脾胃失健，或湿浊痰瘀内蕴，阻滞气机所致。以长期脘腹痞胀作痛、嘈杂，或有浮肿等为主要表现的内脏胀［著］病类疾病。"			"D"
"01"	"03"	430	"KCDOM-3"	"U28.3"	"Stuffiness and fullness"	"痞滿"		"비만"	"unwell feeling of stuffiness and fullness in the chest and upper abdomen"				"D"
"01"	"03"	"431"	"GB 97"	7.9	"Gastric stuffiness"	"胃痞"			"It is caused by chronic disorder of stomach, resulting in deficiency of stomach and malnourishment of stomach vessel. Clinical manifestations are long-term insufficient intake of food, epigastric fullness and distention, diarrhea, emaciation, and lassitude."	"因胃病日久，脾胃气虚，胃络失养而萎缩。以长期食少，胃部痞胀，腹泻，消瘦乏力为主要表现的内脏痿病类疾病。"			"D"
"01"	"03"	510	"GB 97"	22.35	"Diarrhea"	"泄[腹]泻"			"It refers to frequent bowel movement with loose stool, usually caused by attack of wind, cold, dampness, heat and pestilence, or improper diet, emotional upset, or insufficiency of yang qi in the spleen and kidney. It can be divided into fulminant diarrhea and chronic diarrhea. Diarrhea can be seen in diseases of the spleen and stomach, bowels, liver, gallbladder and pancreas."	"大便次数增多，粪质稀薄为特征的症状。外感风寒湿热疫毒之邪，或饮食所伤，情志失调，或久病脾肾阳气亏虚等均可导致。临床有暴泻与久泻之分。脾胃、大小肠、肝胆胰的病变常有泄泻的症状。"			"D"
"01"	"03"	520	"GB 97"	22.36	"Constipation"	"便秘[闭]"			"It refers to inability to defecate, or prolonged course of defecation, or diffiulty in defecation. It can be caused by the accumulation of heat in the stomach and intestines, or cold coagulation due to yang deficiency, or deficiency of qi, blood and yin fluid, or abdominal mass. Apart from intestinal diseases, constipation also can be seen in anal diseases, muscular flaccidity, hemiplegia due to wind stroke, pressure of lumps outside the intestines, febrile disease, or excessive taking of antidiarrheal or medicinals warm and dry in property, or abdominal operation and general weakness."	"大便秘结不通，排便时间延长，或时间虽不延长但排便困难的症状。胃肠积热，或阳虚寒凝，或气血阴津亏损，或腹内癥块阻结等，均可导致便秘。便秘除常见于肠道病变外，肛门部的病变、肌痿、风痱、肠外肿块压迫、温热病过程中、过服止泻药或温燥之品、腹部手术之后、全身衰惫状态等均可出现便秘。"			"D"
"01"	"03"	"521"	"GB 97"	7.35	"Splenic constipation"	"脾约"			"It is caused by accumulation of dryness, heat, deficiency of yin fluid, or coagulation of yin cold due to hypofunction of spleen, resulting in slow bowel movement. Clinical manifestations are frequent dry stool, difficulty in defecation or prolonged interval of defecation."	"多因燥热内结，阴津亏少，或脾虚失运，阴寒凝滞等，使肠道传导迟缓所致。以经常大便干结，排便困难，排便间隔时间延长为主要表现的内脏痹病类疾病。"			"D"
"01"	"03"	"610"	"GB 97"	8.1	"Liver abscess"	"肝痈"			"It is caused by accumulation of pathogenic heat, parasites and toxin that putrefy qi and blood and cause abscess. Clinical manifestations are sudden onset of fever, right hypochondriac pain and lump in the right side of lower hypochondrium."	"因邪热虫毒等淤积于肝，致气血腐败，酿成痈脓，以急起发热，右胁痛，右胁下肿块等为主要表现的内脏痈类疾病。"			"D"
"01"	"03"	"620"	"GB 97"	8.6	"Tympanites"	"鼓胀"			"It is caused by long-term liver disease or schistosomiasis or long-term alcohol drinking, or abdominal mass, intestinal tuberculosis, cancer, hampering circulation of qi, blood and water as well as ascites. Clinical manifestations are drum-like abdominal distention, yellowish discoloration of skin, and prominent veins over abdominal wall."	"因肝病或蛊虫病日久，或长期饮酒，或腹内有癥积、痨、癌等病，阻碍气血水液运行，水积于腹。以腹胀如鼓，肤色苍黄，腹皮青筋显露为主要表现的积聚类疾病。"			"D"
"01"	"03"	630	"GB 97"	22.31	"Jaundice"	"黄疸"			"It refers to yellow coloration of the conjunctival membranes over the sclerae (whites of the eyes), skin and urine. It is usually caused by attack of dampness heat, pestilential toxin, interior injury due to drinking of alcohol or improper diet, or dampness encumbrance due to spleen deficiency, blood stasis and qi stagnation. It can be divided into yang jaundice and yin jaundice according to progress, onset and coloration of the disease. Jaundice is the commonly seen symptom in diseases of liver, gallbladder and pancreas as well as severe disorders of blood and rice epidemic disease. In clinical practice, all diseases with manifestations of jaundice pertain to the category of jaundice."	"以白睛、皮肤粘膜及小便发黄为特征的一组症状。多因外感湿热、疫毒，内伤酒食，或脾虚湿困，血瘀气滞等所致。一般按病之新久缓急与黄色的明暗等分为阳黄与阴黄。黄疸为肝胆病变的常见症状，胰的病变，大量血液损害，稻瘟病等亦可出现黄疸。凡以黄疸为主要表现的疾病，可归纳为黄疸病类。"			"D"
"01"	"03"	"640"	"GB 97"	8.4	"Liver stagnacy [distension]"	"肝著［着］［胀］"			"It is caused by stagnation of qi and blood in the liver after liver heat or liver warmth disease. Clinical manifestations are right hypochondriac mass or pain, relieved with pressure and patting."	"因肝热病、肝瘟等之后，肝脏气血郁滞，著而不行。以右胁痛，右胁下肿块，用手按捺捶击稍舒，肝功能异常等为主要表现的内脏胀[著]病类疾病。"			"D"
"01"	"03"	"650"	"GB 97"	8.14	"Gallbladder distension"	"胆胀"			"It is caused by obstruction of dampness, heat, phlegm and blood stasis, or emotional upset, resulting in stagnation of gallbladder qi. Clinical manifestations are recurrent pain in the right upper abdomen and flatulence."	"因湿热痰瘀等邪阻滞于胆，或因情志郁怒等刺激，使胆气郁滞不舒。以反复发作右上腹疼痛、痞胀等为主要表现的内脏胀［著］病类疾病。"			"D"
"01"	"03"	700	"GB 97"	22.32	"Abdominal pain"	"腹痛"			"It refers to abdominal pain below the epigastrium and hypochondrium and above the symphysis pubis. It can be caused by disorders of all the viscera in the abdominal cavity due to attack of six exopathogens, interior injury, parasite, improper diet, calculus and retention of feces, or stagnation of qi and blood, or chronic diseases induced by insufficiency of qi and blood."	"胃脘与季肋以下，耻骨毛际以上的腹部发生疼痛的症状。腹腔内的所有脏器，因六淫外感，内外损伤，虫、食、石、粪阻痹，气滞血瘀，或气血亏虚等所导致的各种急慢性病变，都有可能产生腹痛。"			"D"
"01"	"03"	710	"GB 97"	22.3	"Hypochondriac pain"	"胁痛"			"It refers to pain on the one or both sides of the hypochondrium, pertaining to the category of chest pain in a broad sense. Its pathogenesis involves qi stagnation, meridian disharmony and dysfunction in dispersion and conveyance. It is one of the frequently encountered symptoms in diseases of liver, gallbladder and hypochondrium, such as liver cancer, liver abscess, liver heat disease, liver stagnation, tympanites, gallbladder heat, gallbladder distention, thoracic retention of fluids, liver accumulation and hypochondriac pain."	"自觉一侧或两侧胁部疼痛的症状。胁痛可归属于广义的胸痛范畴。其病机特点为气机郁滞，脉络失和，疏泄不利。胁痛为肝胆、胁肋部病变的常见症状之一，如肝癌、肝痈、肝热病、肝著、鼓胀、胆瘅、胆胀、悬饮、肥气、干胁痛、胁肋痛等病均可导致。"			"D"
"01"	"03"	810	"KCDOM-3"	"U21.1"	"Viscera heat"	"臟熱"		"장열"					"D"
"01"	"03"	820	"KCDOM-3"	"U28.8"	"Visceral bind"	"臟結"		"장결"	"a diseased state arising when excess cold bound in the internal organs and manifested by epigastric distension, fullness and pain or tender mass accumulated in the hypochondriac region"				"D"
"01"	"03"	830	"KCDOM-3"	"U21.0"	"Viscera accumulation"	"臟積"		"장적"					"D"
"01"	"03"	"840"	"GB 97"	"7.30"	"Intestinal abscess"	"肠痈"			"It is caused by interior accumulation of heat-toxin in bowels that causes abscess. Clinical manifestations are fever, spasmodic pain and mass in the right lower abdomen."	"因热毒内聚，淤结肠中，而生痈成脓。以发热，右少腹疼痛拘急，或触及包块为主要表现的内脏痈病类疾病。"			"D"
"01"	"04"		"KCDOM-3"	"U31"	"Diseases of the genitourinary system"			"비뇨생식기계통의 질환"					"D"
"01"	"04"	100	"KCDOM-3"	"U31.1"	"Strangury disease"	"淋病"		"임병"	"a variety of diseases characterized by frequent, painful and dripping urination"				"D"
"01"	"04"	"110"	"GB 97"	9.17	"Stony stranguria"	"石淋"			"It is caused by accumulation of dampness-heat in the lower energizer which steams and transforms urine turbidity into stone retained in the kidney. Clinical manifestations are lumbago, hematuria, stone in urine and presence of calculus in lab test."	"因湿热之邪蕴结下焦，煎熬尿浊杂质，结为砂石，停阻于肾系。以腰痛，尿血，或尿出砂石，或经检查发现结石为特征的结石类疾病。"			"D"
"01"	"04"	"120"	"GB 97"	9.15	"Heat [acute]stranguria"	"热［急］淋"			"It is caused by contraction of dampness-heat, resulting in the failure of bladder in qi transformation. Clinical manifestations are frequent, painful and urgent urination, and hematuria."	"因染受湿热之邪，使膀胱气化不利，以新起尿频，尿痛，尿急，尿血为主要表现的淋病类疾病。"			"D"
"01"	"04"	"210"	"GB 97"	9.22	"Flooding urine"	"尿崩"			"It is caused by kidney deficiency, insecurity of lower origin, or disorder of brain spirit involving kidney, resulting in dysfunction of the kidney in controlling water and urination. Clinical manifestations are large amount of diluted urine and thirst."	"因肾虚下元不固，或脑神等病变及肾，肾之气化失司，水津直趋膀胱而下泄。以尿多如崩，尿清如水，烦渴多饮为主要表现的肾系疾病。"			"D"
"01"	"04"	"220"	"GB 97"	9.21	"Enuresis"	"遗尿"			"It is caused by congenital deficiency, insecurity of kidney qi, or accumulation of dampness-heat and blood stasis, resulting in dysfunction of the bladder. Clinical manifestations are involuntary urination in sleep."	"因禀赋不足，肾气不固，或湿热瘀血内蕴，膀胱失约。以入睡后尿液不随意地流出为主要表现的肾系疾病。"			"D"
"01"	"04"	230	"GB 97"	22.42	"Turbid urine"	"尿浊"			"It refers to nebulous urine or urine like rice water, usually caused by downward flow of dampness heat, or deficiency of spleen and kidney. It can be induced by diseases such as filariasis, kidney tuberculosis, kidney tumor or cancer, infantile exogenous or endogenous injury, chest or abdomen injury or surgery."	"小便混浊，白如泔浆的症状。多因湿热下注、脾肾亏虚等所致。引起尿浊的常见疾病有丝虫病、肾痨、精浊、肾系癌瘤，小儿外感或内伤，胸腹部创伤或手术等亦可导致尿浊。"			"D"
"01"	"04"	240	"KCDOM-3"	"U31.0"	"Dribbling urinary block"	"癃閉"		"융폐"	"dribbling urination or complete blockage of urine flow"				"D"
"01"	"04"	"250"	"GB 97"	9.2	"Ischuria"	"癃闭"			"It is caused by the blockage of stagnant sperm or surgery of exterior genitalia, resulting in the failure of bladder in qi transformation and blocked water passage. Clinical manifestations are oliguria, dribbling and even anuria."	"因败精阻塞、阴部手术等，使膀胱气化失司，水道不利。以小便量少、点滴而出，甚至闭塞不通为主要表现的内脏痹病类疾病。"			"D"
"01"	"04"	"310"	"GB 97"	9.8	"Kidney stagnacy"	"肾著[着]"			"It is caused by the repeated occurrence of kidney heat. Clinical manifestations are fatigue, sore and pain in the lumbar region and abnormal urination."	"多由肾瘅迁延不愈或反复发作而成。以乏力，腰痛腰酸，排尿异常为主要表现的内脏胀［著］病类疾病。"			"D"
"01"	"04"	"320"	"GB 97"	9.4	"Kidney edema"	"肾水"			"It is caused by impairment of the kidney due to various reasons. Clinical manifestations are long-term edema, hyperproteinuria, hypoproteinemia, and hyperlipidemia."	"由多种原因损及肾脏所致。以长期浮肿，大量蛋白尿，低蛋白血症，高脂血症为主要表现的水肿类疾病。"			"D"
"01"	"04"	410	"KCDOM-3"	"U31.7"	"Pudendal restriction"	"陰縱"		"음종"					"D"
"01"	"04"	420	"KCDOM-3"	"U31.8"	"Pudendal contraction"	"陰縮"		"음축"					"D"
"01"	"04"	430	"KCDOM-3"	"U32.2"	"Pudendal cold"	"陰冷"		"음냉"					"D"
"01"	"04"	500	"KCDOM-3"	"U31.6"	"Genital disease; lower abdominal colic"	"疝病"		"산병"	"severe colicky pain in the lower abdomen usually accompanied by constipation and ischuria"				"D"
"01"	"04"	"510"	"GB 97"	10.18	"Premature ejaculation"	"早泄"			"It is caused by insecurity of kidney qi. Clinical manifestations are ejaculation just 1 minute after sexual intercourse."	"因肾气不固等所致。以阴茎插入阴道不到lmin便发生射精，不能实行正常性交为主要表现的不固类疾病。"			"D"
"01"	"04"	"520"	"GB 97"	10.17	"Seminal emission"	"遗精"			"It is caused by dysfunction of the kidney in storing. Clinical manifestations are spermatorrhea over 4 times per month."	"因肾失封藏所致。以不因性交而精液自行遗泄，一月4次以上为主要表现的不固类疾病。"			"D"
"01"	"04"	530	"KCDOM-3"	"U31.5"	"Persistent erection"	"陽强"		"양강"	"abnormal persistent erection accompanied by tenderness of the penis"				"D"
"01"	"04"	540	"KCDOM-3 and GB 97"	"U31.4 and 10.19"	"Impotence"	"阳痿"		"음위"	"an abnormal state of a male characterized by inability to initiate or maintain an erection in sexual intercourse"	"因命门火衰，肝肾亏虚，或因惊恐、抑郁等所致。以阴茎萎软，或举而不坚，不能插入阴道进行性交为主要表现的痿病类疾病。"			"D"
"01"	"04"	"550"	"GB 97"	10.21	"Sterility"	"不育"			"It refers to failure to conceive baby after two years of marriage with normal sexual intercourse."	"婚后女方正常，有正常性生活而两年不能生育为主要表现的肾系疾病。"			"D"
"01"	"04"	610	"KCDOM-3"	"U32.5"	"Shifted bladder; bladder colic"	"轉胞"		"전포"	"a disease marked by acute pain below the umbilicus associated with anuresis"				"D"
"01"	"04"	620	"KCDOM-3"	"U31.2"	"Bladder impediment"	"胞痺"		"포비"					"D"
"01"	"04"	630	"KCDOM-3"	"U31.3"	"Intercourse between rectum and external urinary tract"	"交腸"		"교장"					"D"
"01"	"05"		"KCDOM-3"	"U23-U24"	"Diseases of the nervous system"			"신경계통의 질환"					"D"
"01"	"05"	100	"KCDOM-3"	"U24.1"	"Insensitivity"	"不仁"		"불인"	"no perception to touch, also known as numbness"				"D"
"01"	"05"	110	"KCDOM-3"	"U24.0"	"Numbness"	"痲木"		"마목"	"reduced sensitivity to touch"				"D"
