ORPHA|ORPHANAME|CONCEPTID|TITLE|SHORT DEFINITION
20|3-hydroxy-3-methylglutaric aciduria|http://who.int/icd#3311_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|3-hydroxy 3-methylglutaryl-CoA lyase deficiency|"3-hydroxy-3-methylglutaric aciduria is an organic aciduria due to 3-hydroxy-3-methylglutaryl-CoA-lyase deficiency, a key enzyme in ketogenesis and in leucine metabolism. Onset occurs in infancy with transient acidosis and hypoglycemia, hypotonia and vomiting triggered by periods of fasting or infections. "
23|Argininosuccinic aciduria|http://who.int/icd#1958_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Argininosuccinic aciduria|"Arginosuccinicaciduria is an autosomal recessive inherited deficiency of arginosuccinate lyase, an enzyme involved in the urea cycle that leads to severe hyperammonemic coma in neonates or, in childhood, to hypotonia, growth failure, anorexia and chronic vomiting or behavioral disorders. Onset can also occur later with hyperammonemic coma or behavioral disorders that simulate psychiatric disorders. "
24|Fumaric aciduria|http://who.int/icd#7029_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Fumarase deficiency|"Fumaric aciduria is a tricarboxylic acid cycle disorder characterised by early onset but non-specific clinical signs: hypotonia, psychomotor retardation, convulsions, respiratory distress, frequent cerebral malformations and polyhydramnios. "
25|Glutaric acidemia type 1|http://who.int/icd#1067_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Glutaric aciduria type 1|Glutaric acidemia type 1 is an inborn error of lysine and triptophan metabolism due to glutaryl-Coenzyme A (CoA) dehydrogenase deficiency  clinically characterized by a acute encephalopathy that results in bilateral striatal damage leading to a severe dystonic dyskinetic movement disorder. 
26|Methylmalonic acidemia with homocystinuria|http://who.int/icd#1166_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Methylmalonic aciduria - homocystinuria|"Methylmalonic acidemia with homocystinuria is an inborn error of vitamin B12 (cobalamin) metabolism characterized by megaloblastic anemia, lethargy, failure to thrive, developmental delay, intellectual deficit and seizures. There are three complementation classes of cobalamin defects (cblC, cblD and cblF) that are responsible for methylmalonic acidemia - homocystinuria (methylmalonic acidemia - homocystinuria cblC, cblD and cblF; see these terms)."
27|Vitamin B12-unresponsive methylmalonic acidemia|http://who.int/icd#1221_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|"Methylmalonic aciduria, vitamin B12 unresponsive"|"Vitamin B12-unresponsive methylmalonic acidemia is an inborn error of vitamin B12 (cobalamin) metabolism characterized by recurrent ketoacidotic crises or transient vomiting, dehydration, hypotonia and intellectual deficit, which does not respond to administration of vitamin B12. There are two types of vitamin B12-unresponsive methylmalonic acidemia: mut0 and mut- (see these terms)."
28|Vitamin B12-responsive methylmalonic acidemia|http://who.int/icd#1287_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|"Methylmalonic aciduria, vitamin B12 responsive"|"Vitamin B12-responsive methylmalonic acidemia (MA) is an inborn error of vitamin B12 (cobalamin) metabolism characterized by recurrent ketoacidotic comas or transient vomiting, dehydration, hypotonia and intellectual deficit, which responds to vitamin B12. There are three types: cblA, cblB and cblD-variant 2 (cblDv2)."
29|Mevalonic aciduria|http://who.int/icd#2255_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Mevalonic aciduria|"Mevalonic aciduria (MVA) and hyperimmunoglobulinemia D syndrome (HIDS) represent the two ends of a clinical spectrum of disease caused by deficiency of mevalonate kinase (MVK), the first committed enzyme of cholesterol biosynthesis.  MVA is characterized by psychomotor retardation, failure to thrive, progressive cerebellar ataxia, dysmorphic features, progressive visual impairment and recurrent febrile crises with hepatosplenomegaly, lymphadenopathy, abdominal symptoms, arthralgia and skin rashes. In HIDS, only febrile attacks are present, but a subgroup of patients may also develop neurological abnormalities of varying degree such as intellectual deficit, ataxia, ocular symptoms and epilepsy."
31|Oxoglutaricaciduria|http://who.int/icd#7040_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Alpha-ketoglutarate dehydrogenase deficiency|"Oxoglutaric aciduria is a tricarboxylic acid cycle disorder caused by deficiency of alpha ketoglutarate dehydrogenase (oxoglutarate dehydrogenase), characterized by severe psychomotor retardation, hypotonia, ataxia and convulsions (the signs of Leigh's syndrome), as well as sudden death, myocardiopathy, and hepatic disorders."
32|Glutathione synthetase deficiency|http://who.int/icd#6259_e9c55f4e_825c_45d7_ba2c_0fdc673d688a|Haemolytic anaemia due to glutathione synthetase deficiency|"Glutathione synthetase deficiency is an inborn error of glutathione metabolism characterised by hemolytic anemia, associated with metabolic acidosis and 5-oxoprolinuria in moderate forms, and with progressive neurological symptoms and recurrent bacterial infections in the most severe forms. "
35|Propionic acidemia|http://who.int/icd#1342_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Propionic aciduria|"Propionic acidemia is an organic aciduria due to propionyl-CoA carboxylase deficiency characterized by onset of manifestations soon after birth including ketoacidotic coma, hyperammonemia and convulsions. Apart from acute metabolic decompensation, the major complications are neurological disorders (central grey nuclei), cardiomyopathies, and acute pancreatitis."
36|Acrocallosal syndrome|http://who.int/icd#8393_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Acrocallosal syndrome|"Acrocallosal syndrome (ACS) is a polymalformative syndrome characterized by agenesis of corpus callosum (CC), distal anomalies of limbs, minor craniofacial anomalies and intellectual deficit."
40|"Acromesomelic dysplasia, Maroteaux type"|http://who.int/icd#9691_b047675b_e7d6_403d_8ca9_f59ab5570ff4|"Acromesomelic dysplasia, Maroteaux type"|"Acromesomelic dysplasia Maroteaux type is a rare autosomal recessive osteochondrodysplasia belonging to the group of acromesomelic dysplasias, and is clinically characterized  by severe dwarfism with shortening of the middle and distal segments of the limbs, and adiologically, by short broad fingers, shortening of the middle long bones with a bowed radius, and vertebral abnormalities."
42|Medium chain acyl-CoA dehydrogenase deficiency|http://who.int/icd#3124_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Medium chain acyl-CoA dehydrogenase deficiency|"Medium chain acyl-CoA dehydrogenase (MCAD) deficiency is an inborn error of mitochondrial fatty acid oxidation, clinically characterised by acute episodes of hypoketotic hypoglycemia with hepatomegaly (pseudo Reye syndrome), triggered by fasting or infections, which occur generally within the two first years of life. There is no muscle nor cardiac involvement."
43|X-linked adrenoleukodystrophy|http://who.int/icd#5247_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|X-linked adrenoleukodystrophy|"X-linked adrenoleukodystrophy (X-ALD) is a peroxisomal disease characterized by progressive demyelinisation of the central nervous system (CNS) (brain and/or spinal cord) and peripheral adrenal insufficiency. The cerebral forms of juvenile X-ALD (45% of the cases) affect previously healthy 5 to 12 year-old boys.  The adult form, adrenomyeloneuropathy (AMN), is characterized by the onset of spastic paraparesia between 20 and 45 years of age, associated with gait disturbances, urinary disorders and sexual dysfunction. "
44|Neonatal adrenoleukodystrophy|http://who.int/icd#5192_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Neonatal adrenoleukodystrophy|"Neonatal adrenoleukodystrophy is a rare neurodegenerative disorder that belongs to the group of inherited peroxisomal disorders and that is characterized by seizures from birth, diffuse encephalopathy, chorioretinopathy and optic nerve dysplasia, sensorineural hearing deficiency, peripheral neuropathy, facial dysmorphism, failure to thrive, severely delayed psychomotor development and multiple biochemical abnormalities, including increased plasma levels of very-long-chain fatty acids (VLCFA), phytanic acid and bile fluid trihydroxycoprostanic acid. "
45|Adenosine monophosphate deaminase deficiency|http://who.int/icd#3608_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Adenosine monophosphate deaminase deficiency|"Adenosine monophosphate (AMP) deaminase deficiency is a metabolic disorder for which two forms have been described.: lack of activity of the erythrocyte isoform of AMP deaminase without obvious clinical relevance and myoadenylate deaminase deficiency, an inherited disorder of muscular energy metabolism with a lack of AMP deaminase activity in skeletal muscle characterised by exercise-induced muscle pain, cramps and/or early fatigue. "
46|Adenylosuccinate lyase deficiency|http://who.int/icd#3685_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Adenylosuccinate lyase deficiency|"Adenylosuccinate lyase deficiency, also called adenylosuccinase deficiency, is an autosomal recessive inherited disorder of purine metabolism. Clinical signs are non-specific and include psychomotor retardation, epileptic seizures, and behavioral disorders similar to autism. All of these may be associated with growth retardation and amyotrophy. "
48|Congenital bilateral absence of vas deferens|http://who.int/icd#Q55.3|Agenesis of vas deferens|Congenital bilateral absence of the vas deferens is a condition leading to male infertility due to obstructive azoospermia. This conditionsIt is also found in 98% of males with cystic fibrosis. 
50|Aicardi syndrome|http://who.int/icd#6809_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Aicardi syndrome|"Aicardi syndrome is a rare neurodevelopmental disorder defined by the triad of agenesis of the corpus callosum (total or partial), typical chorioretinal lacunae and infantile spasms that affect almost exclusively females. "
51|Aicardi-Goutieres syndrome|http://who.int/icd#984_890e173e_8bc7_44a1_9345_a738531fdd8e|Aicardi-Goutières syndrome|"Aicardi-Goutières syndrome is an inherited, subacute encephalopathy characterised by the association of basal ganglia calcification, leukodystrophy and cerebrospinal fluid (CSF) lymphocytosis."
52|Alagille syndrome|http://who.int/icd#2354_07368d94_d861_421b_b2a0_264c49b96108|Alagille syndrome|"Alagille syndrome is variably characterized by chronic cholestasis due to paucity of intrahepatic bile ducts, peripheral pulmonary artery stenosis, vertebrae segmentation anomalies, characteristic facies, posterior embryotoxon/anterior segment abnormalities, pigmentary retinopathy, and dysplastic kidneys. "
53|Albers-Schˆnberg osteopetrosis|http://who.int/icd#18381_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Autosomal dominant osteopetrosis type 2|Albers-Schönberg osteopetrosis is a sclerosing disorder of the skeleton characterized by increased bone density that classically displays the radiographic sign of ``sandwich vertebrae'' (dense bands of sclerosis parallel to the vertebral endplates). 
54|X-linked recessive ocular albinism|http://who.int/icd#891_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|X-linked recessive ocular albinism|"X-linked recessive ocular albinism is a form of ocular albinism, a group of X-linked or autosomal genetic disorders characterized by partial or total lack of melanin pigmentation in the eyes. Eyes may be severely affected with photophobia and reduced visual acuity. Nystagmus or strabismus are often associated. The irides and fundus are depigmented. "
56|Alkaptonuria|http://who.int/icd#605_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Alkaptonuria|"Alkaptonuria is characterised by the accumulation of homogentisic acid (HGA) and its oxidised product benzoquinone acetic acid (BQA), leading to a darkening of the urine when it is left exposed to air, grey-blue colouration of the eye sclerae and the ear helix (ochronosis), and a disabling joint disease involving both the axial and peripheral joints (ochronotic arthropathy). "
58|Alexander disease|http://who.int/icd#22185_588c79f3_df65_43e0_903d_add110bf20de|Alexander disease|"Alexander's disease is a neurodegenerative disorder encompassing different clinical forms: the infantile form (birth to 2 years), the most common, is characterized by its early onset and severe evolution with progressive megalencephaly (sometimes hydrocephaly), retarded psychomotor development or mental deterioration, pyramidal signs, ataxia and convulsive seizures. The juvenile forms start in school-aged children and associate spastic paraplegia and progressive bulbar signs. Adult forms are heterogeneous and difficult to diagnose."
59|Allan-Herndon-Dudley syndrome|http://who.int/icd#10692_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Allan-Herndon-Dudley syndrome|"Allan-Herndon-Dudley syndrome (AHDS) is an X-linked intellectual deficiency syndrome with neuromuscular involvement characterized by hypotonia, muscular hypoplasia and intellectual deficit."
60|Alpha-1 antitrypsin deficiency|http://who.int/icd#1584_2985fd4a_87e8_4e76_ac83_2a5b74c14300|Alpha-1-antitrypsin deficiency|"Alpha-1-antitrypsin deficiency (AATD) is a genetic disorder that manifests as pulmonary emphysema, liver cirrhosis and, rarely, as the skin disease panniculitis, and is characterized by low serum levels of AAT, the main protease inhibitor (PI) in human serum. "
61|Alpha-mannosidosis|http://who.int/icd#4477_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Alpha-mannosidosis|"Alpha-mannosidosis is an inherited lysosomal storage disorder characterized by immune deficiency, facial and skeletal abnormalities, hearing impairment, and intellectual deficit."
62|Autosomal recessive limb-girdle muscular dystrophy type 2D|http://who.int/icd#704_e9c55f4e_825c_45d7_ba2c_0fdc673d688a|"Limb-girdle muscular dystrophy 2D, alpha-sarcoglycan deficiency"|"Autosomal recessive limb-girdle muscular dystrophy (LGMD) type 2D belongs to the group of LGMD, that are genetically determined, progressive muscle weakness disorders, in which the pelvic or shoulder girdle musculature is predominantly or primarily involved. LGMD2D is a sarcoglycanopathy characterized by scapular winging and calf hypertrophy with cardiac involvement in about 20% of cases. "
63|Alport syndrome|http://who.int/icd#13893_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Alport syndrome|"Alport syndrome is an inherited disease characterised by glomerular nephropathy with hematuria, progressing to end-stage renal disease, associated with sensorineural deafness. It involves a structural defect of type IV collagen, which is a normal component of the glomeral basal membrane."
64|Alstrˆm syndrome|http://who.int/icd#11759_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Alström syndrome|"Alström syndrome is a multisystemic disorder characterized by cone-rod dystrophy, hearing loss, obesity, insulin resistance and hyperinsulinemia, type 2 diabetes mellitus, dilated cardiomyopathy (DCM), and progressive hepatic and renal dysfunction."
65|Leber congenital amaurosis|http://who.int/icd#10697_378b7cb7_5b17_422d_b68b_e793f5e48664|Leber congenital amaurosis|Leber congenital amaurosis (LCA) is a genetic retinal dystrophy and/or dysplasia of prenatal onset and is  one of the frequent causes of childhood blindness. 
69|Amyloidosis|http://who.int/icd#E85|Amyloidosis|"Amyloidosis is a vast group of diseases defined by the presence of insoluble protein deposits in tissues. Its diagnosis is based on histological findings. Amyloidoses are classified according to clinical signs and biochemical type of amyloid protein involved. Most amyloidoses are multisystemic, 'generalized' or 'diffuse'.  There are a few forms of localized amylosis. The most frequent forms are AL amyloidosis (immunoglobulins), AA (inflammatory), and ATTR (transthyretin accumulation). "
70|Proximal spinal muscular atrophy|http://who.int/icd#3180_d4765700_5765_4591_9aab_337c39ce9c2a|Spinal muscular atrophy|"Proximal spinal muscular atrophies are a group of neuromuscular disorders characterized by progressive muscle weakness resulting from the degeneration and loss of the lower motor neurons in the spinal cord and the brain stem nuclei. Four subtypes have been defined according to the age of onset and severity of the disease: type 1 (SMA1), the most severe form, with onset before six months of age; type 2 (SMA2), with onset between 6 and 18 months of age, type 3 (SMA3), with onset between childhood and adolescence, and type 4 (SMA4), the least severe form, with adult onset. "
71|Chylomicron retention disease|http://who.int/icd#6281_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Chylomicron retention disease|"Chylomicron retention disease (CRD) is a type of familial hypocholesterolemia characterized by malnutrition, failure to thrive, growth failure, vitamin E deficiency and hepatic (steatosis), neurologic  (areflexia, ataxia, myopathy, sensory neuropathy) and ophthalmologic (minor visual abnormalities) complications. "
72|Angelman syndrome|http://who.int/icd#15873_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Angelman syndrome|"Angelman syndrome is a neurogenetic disorder characterized by severe intellectual deficit and distinct facial dysmorphic (microcephaly, macrostomia, maxillary hypoplasia, prognathia), behavioral (outbursts of laughter with hand flapping, a happy demeanor, hyperactivity without aggression, short attention span, excitability and sleeping problems with decreased need to sleep, increased sensitivity to heat, attraction to and fascination with water), and neurological features (a puppet-like gait, ataxia and epileptic seizures)."
73|Gorham-Stout disease|http://who.int/icd#10604_07368d94_d861_421b_b2a0_264c49b96108|Gorham-Stout disease|"Gorham-Stout disease is defined as a spontaneous, massive osteolysis characterized by local proliferation of small vascular or lymphatic vessels resulting in progressive destruction and resorption of bone. Clinical signs at presentation include pain, swelling and spontaneous fractures. Osteolysis may stop progressing at any time, but often osseous tissue completely disappears, leaving only a residual fibrous band, a dramatic development inspiring the term 'vanishing bone disease.' "
77|Aniridia|http://who.int/icd#Q13.1|Aniridia|Aniridia is a congenital ocular malformation characterized by the complete or partial absence of the iris. It can be isolated or part of a syndrome (isolated and syndromic aniridia; see these terms).
78|Ankylostomiasis|http://who.int/icd#B76.0|Ancylostomiasis|"Ankylostomiasis or hookworm infection is an intestinal infection caused by Ancylostoma duodenale or Necator americanus, and is an important cause of intestinal blood loss leading to iron-deficiency anaemia. "
80|Antiphospholipid syndrome|http://who.int/icd#2101_07368d94_d861_421b_b2a0_264c49b96108|Antiphospholipid syndrome|"Antiphospholipid syndrome, also known as Hughes syndrome, is a systemic autoimmune condition characterized by the presence of antiphospholipid antibodies (aPL) in the serum of patients with thrombotic events and/or recurrent pregnancy complications. "
81|Antisynthetase syndrome|http://who.int/icd#2123_07368d94_d861_421b_b2a0_264c49b96108|Antisynthetase syndrome|"Antisynthetase syndromes are a subgroup of idiopathic inflammatory diseases, characterized by the association of inflammatory myopathy, polyarthritis, Raynaud's phenomenon and hyperkeratosis with fissures, and by the presence of antisynthetase antibodies, anti-Jo-1 being the most frequent. "
83|Antley-Bixler syndrome|http://who.int/icd#10593_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Antley-Bixler syndrome|"Antley-Bixler syndrome is a very rare disorder characterised by craniosynostosis with midface hypoplasia, radiohumeral synostosis, femoral bowing and joint contractures. Two genetically distinct forms are observed: type 1 Antley-Bixler syndrome is associated with heterozygous mutations in the FGFR2 gene (10q26) without impairment of steroidogenesis, whereas type 2 Antley-Bixler is associated with homozygous mutations in the POR gene (7q11.2), encoding cytochrome P450 oxidoreductase (POR), which plays a direct role in steroidogenesis. Type 2 Antley-Bixler can thus be accompanied by sexual ambiguity."
84|Fanconi anemia|http://who.int/icd#429_8e8fddc4_a502_4bf4_b128_ebfca1d73928|Fanconi anaemia|"Fanconi anemia (FA) is a hereditary DNA repair disorder characterized by progressive pancytopenia with bone marrow failure, variable congenital malformations and predisposition to develop hematological or solid tumors."
85|Congenital dyserythropoietic anemia|http://who.int/icd#D64.4|Congenital dyserythropoietic anaemia|"Congenital dyserythropoietic anemias (CDA) result from diverse erythropoietic disorders; they lead to the defective production of red blood cells (RBC) and often mild hemolysis that attests to a qualitative defect of these RBC released into the circulation. Three forms of CDA have been characterized: types I, II and III. The shared symptoms include anemia of variable severity, intermittent jaundice, splenomegaly and hepatomegaly."
87|Apert syndrome|http://who.int/icd#10582_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Apert syndrome|Apert syndrome is a malformation disorder characterised by the association of faciocraniosynostosis and osseous and membranous syndactyly of the four extremities. 
90|Argininemia|http://who.int/icd#1980_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Argininaemia|"Arginase deficiency is a rare autosomal recessive amino acid metabolism disorder characterized clinically by variable degrees of hyperammonemia, developing from about 3 years of age, and leading to progressive loss of developmental milestones and spasticity in the absence of treatment."
91|Aromatase deficiency|http://who.int/icd#9306_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Aromatase deficiency|"Aromatase deficiency is a rare autosomal recessive disease in which fetal androgens are not converted into estrogens due to placental aromatase deficiency during pregnancy, resulting in an increased level of maternal plasma testosterone and low estrogen levels. Pregnant women exhibit hirsutism, which spontaneously resolves post-partum. At birth, affected female babies present with pseudohermaphroditism due to virilization of external genital organs. In men, manifestations occurs later during adulthood, with tall stature due to incomplete epiphyseal closure, eunuchoid proportion of the skeleton, associated with osteoporosis and obesity. "
92|Juvenile idiopathic arthritis|http://who.int/icd#M08|Juvenile idiopathic arthritis|"Juvenile idiopathic arthritis (JIA) is the term used to describe a group of inflammatory articular disorders of unknown cause that begin before the age of 16 and last over 6 weeks. Six disorders have been defined: systemic-onset juvenile idiopathic arthritis (formerly referred to as Still's disease), oligoarticular arthritis, rheumatoid factor-positive polyarthritis, rheumatoid factor-negative polyarthritis, enthesitis-related arthritis (spondylarthropathies), and the juvenile form of psoriatic arthritis (see these terms). A seventh category has been defined comprising unclassified types of arthritis (types that do not correspond to any of the defined disease or that correspond to more than one of the disease definitions). "
93|Aspartylglucosaminuria|http://who.int/icd#4466_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Aspartylglucosaminuria|"Aspartylglycosaminuria is an autosomal recessive lysosomal storage disease belonging to the oligosaccharidosis group that is due to deficiency in N-aspartylglycosaminidase. Clinical signs include slowly developping intellectual deficit, beginning with clumsiness, late speech, and hyperkinesia, mild facial dysmorphism, and slight kyphoscoliosis."
94|Astrocytomas|http://who.int/icd#2940_ce88e999_ba9e_41b4_8d8a_b63046b652da|Astrocytoma|"Astrocytomas represent a complex group of benign and malignant cerebral tumors. They are the most frequent cerebral tumors. The most frequent benign tumors are juvenile pilocytic astrocytomas (grade I) and diffuse low grade or fibrillary astrocytomas (grade II). The most frequent malignant tumors include anaplastic astrocytomas (grade III), glioblastomas (grade IV, the most severe form of astrocytoma), giant cell glioblastomas and gliosarcomas. Pleomorphic xanthoastrocytomas can be malignant or benign. "
95|Friedreich ataxia|http://who.int/icd#6721_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Friedreich ataxia|"Friedreich ataxia is an autosomal recessive ataxia characterized by difficulties to coordinate movements, associated with neurological signs (dysarthria, loss of reflexes, decrease of deep sensation, pes cavus and scoliosis), cardiomyopathy and sometimes diabetes mellitus. "
96|Friedreich-like ataxia with selective vitamin E deficiency|http://who.int/icd#6545_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Friedreich-like ataxia with selective vitamin E deficiency|Friedreich-like ataxia with selective vitamin E deficiency is a metabolic ataxia which clinical presentation resembles Friedreich ataxia associated with markedly reduce plasma levels of alfa-tocoferol and without known cases of malabsorption.   
97|Episodic ataxia type 2 [Familial paroxysmal ataxia]|http://who.int/icd#19500_588c79f3_df65_43e0_903d_add110bf20de|Familial paroxysmal ataxia|"Familial paroxysmal ataxia is a form of cerebellar ataxia characterised by episodes of acute ataxia, dizziness and nausea, with a duration ranging from a few minutes to several hours. The episodes may be accompanied by dysarthria, diplopia, dystonia or hemiplegia. "
98|"Spastic ataxia, Charlevoix-Saguenay type"|http://who.int/icd#5130_dd0250d2_e8cd_4c48_a93f_7997cc1c8b07|Autosomal recessive spastic ataxia of Charlevoix-Saguenay|"Autosomal recessive spastic ataxia of Charlevoix-Saguenay is a neurodegenerative disorder characterised by early-onset cerebellar ataxia with spasticity, a pyramidal syndrome and peripheral neuropathy. "
99|Spinocerebellar ataxias|http://who.int/icd#4395_dd0250d2_e8cd_4c48_a93f_7997cc1c8b07|Autosomal dominant cerebellar ataxia|"Autosomal dominant cerebellar ataxias (ADCA) are a clinically and genetically heterogeneous group of disorders characterized by a slowly progressive ataxia of gait, stance and limbs, dysartrhia and/or oculomotor disorder due to cerebellar degeneration in the absence of coexisting diseases. The degenerative process can be limited to the cerebellum (ADCA type III) or may additionally involve the retina (ADCA type II), optic nerve, ponto-medullary systems, basal ganglia, cerebral cortex, spinal tracts or peripheral nerves (ADCA type I). "
100|Ataxia-telangiectasia|http://who.int/icd#2024_07368d94_d861_421b_b2a0_264c49b96108|Ataxia – telangiectasia|"Ataxia-Telangiectasia (A-T) is a DNA repair disorder defined by the association of severe combined immunodeficiency (affecting mainly the humoral immune response) with progressive cerebellar ataxia. It is characterised by neurological signs, telangiectasias, increased susceptibility to infections and increased risk of cancer. "
